horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
20,resplit_22,A4_logit_sum_to_one,0.6576,0.0561,0.0561,0.005,0.007,0.293
20,resplit_22,A4_logit_equal,0.6481,0.0466,0.0466,0.001,-0.0026,0.455
20,resplit_22,F1_unregularized,0.652,0.0506,0.0506,0.004,0.0014,0.544
20,resplit_22,F3_l1,0.6388,0.0373,0.0373,0.016,-0.0119,0.005
20,resplit_22,F7_interaction,0.6518,0.0504,0.0504,0.003,0.0012,0.653
20,resplit_22,P3_categorical_parity,0.6451,0.0436,0.0436,0.002,-0.0056,0.546
20,resplit_33,B0_prevalence,0.4986,-0.1028,-0.1028,0.013,-0.1478,0.0
20,resplit_33,B1_parity_only,0.5678,-0.0336,-0.0336,0.424,-0.0785,0.013
20,resplit_33,B2_m3_only,0.6015,0.0,0.0,1.0,-0.0449,0.018
20,resplit_33,F2_hybrid_C0.1,0.6464,0.0449,0.0449,0.018,0.0,1.0
20,resplit_33,A3_prob_avg_a0.25,0.6524,0.0509,0.0509,0.029,0.006,0.504
20,resplit_33,A3_prob_avg_a0.5,0.6486,0.0471,0.0471,0.005,0.0022,0.784
20,resplit_33,A3_prob_avg_a0.75,0.626,0.0246,0.0246,0.003,-0.0204,0.128
20,resplit_33,A3_prob_avg_selected,0.6627,0.0612,0.0612,0.002,0.0163,0.003
20,resplit_33,A4_logit_unconstrained,0.6488,0.0473,0.0473,0.017,0.0024,0.177
20,resplit_33,A4_logit_nonneg,0.6488,0.0474,0.0474,0.017,0.0025,0.164
20,resplit_33,A4_logit_sum_to_one,0.6566,0.0551,0.0551,0.009,0.0102,0.107
20,resplit_33,A4_logit_equal,0.6488,0.0473,0.0473,0.004,0.0024,0.666
20,resplit_33,F1_unregularized,0.6488,0.0473,0.0473,0.017,0.0024,0.17
20,resplit_33,F3_l1,0.634,0.0325,0.0325,0.05,-0.0124,0.003
20,resplit_33,F7_interaction,0.6479,0.0465,0.0465,0.012,0.0015,0.654
20,resplit_33,P3_categorical_parity,0.6423,0.0408,0.0408,0.006,-0.0041,0.668
20,resplit_44,B0_prevalence,0.4986,-0.1028,-0.1028,0.011,-0.1537,0.0
20,resplit_44,B1_parity_only,0.5785,-0.0229,-0.0229,0.565,-0.0738,0.019
20,resplit_44,B2_m3_only,0.6015,0.0,0.0,1.0,-0.0509,0.006
20,resplit_44,F2_hybrid_C0.1,0.6523,0.0509,0.0509,0.006,0.0,1.0
20,resplit_44,A3_prob_avg_a0.25,0.656,0.0545,0.0545,0.015,0.0036,0.658
20,resplit_44,A3_prob_avg_a0.5,0.6514,0.0499,0.0499,0.0,-0.001,0.816
20,resplit_44,A3_prob_avg_a0.75,0.6276,0.0262,0.0262,0.001,-0.0247,0.054
20,resplit_44,A3_prob_avg_selected,0.6647,0.0633,0.0633,0.0,0.0124,0.001
20,resplit_44,A4_logit_unconstrained,0.6542,0.0527,0.0527,0.005,0.0019,0.332
20,resplit_44,A4_logit_nonneg,0.6541,0.0526,0.0526,0.005,0.0017,0.367
20,resplit_44,A4_logit_sum_to_one,0.6603,0.0588,0.0588,0.004,0.0079,0.227
